year;artists;explicit;name;popularity;tempo;artists_song
2001;Kid Rock;1;Cocky;58;184.028;Kid Rock - Cocky
2001;P!nk;0;Just Like a Pill;67;102.052;P!nk - Just Like a Pill
2001;Ice Cube;1;You Know How We Do It;65;92.876;Ice Cube - You Know How We Do It
2001;South Park Mexican;1;Mexican Radio;57;74.968;South Park Mexican - Mexican Radio
2001;Ja Rule;1;I'm Real - Murder Remix;56;83.506;Ja Rule - I'm Real - Murder Remix
2001;Michael Jackson;0;You Rock My World;65;95.0;Michael Jackson - You Rock My World
2001;blink-182;1;Anthem Part Two;62;103.108;blink-182 - Anthem Part Two
2001;Slipknot;1;People = Shit;65;122.072;Slipknot - People = Shit
2001;D12;1;Fight Music;65;89.501;D12 - Fight Music
2001;Usher;1;U Don't Have to Call;59;100.005;Usher - U Don't Have to Call
2001;Rob Zombie;0;Feel So Numb;60;127.045;Rob Zombie - Feel So Numb
2001;Howard Shore;0;Concerning Hobbits;65;104.311;Howard Shore - Concerning Hobbits
2001;John Williams;0;Prologue;64;146.472;John Williams - Prologue
2001;The Strokes;0;Is This It;55;96.021;The Strokes - Is This It
2001;Gorillaz;0;19-2000;56;89.916;Gorillaz - 19-2000
2001;Staind;1;For You;55;163.089;Staind - For You
2001;Daft Punk;0;Digital Love;64;124.726;Daft Punk - Digital Love
2001;Jennifer Lopez;0;Love Don't Cost a Thing;62;97.577;Jennifer Lopez - Love Don't Cost a Thing
2001;Jack Johnson;0;Bubble Toes;59;93.88;Jack Johnson - Bubble Toes
2001;Jennifer Lopez;1;I'm Real (feat. Ja Rule) - Murder Remix;64;83.46;Jennifer Lopez - I'm Real (feat. Ja Rule) - Murder Remix
2001;Diddy;1;Bad Boy for Life;66;118.934;Diddy - Bad Boy for Life
2001;blink-182;0;Stay Together For The Kids;63;145.125;blink-182 - Stay Together For The Kids
2001;Tenacious D;1;Tribute;68;94.174;Tenacious D - Tribute
2001;Banda El Recodo;0;Y Llegaste Tú;61;123.273;Banda El Recodo - Y Llegaste Tú
2001;System Of A Down;0;Psycho;63;14.622.299.999.999.900;System Of A Down - Psycho
2001;Ja Rule;0;Livin' It Up;63;106.095;Ja Rule - Livin' It Up
2001;Los Bukis;0;Tus Mentiras;60;103.799;Los Bukis - Tus Mentiras
2001;Cake;0;Love You Madly;56;106.999;Cake - Love You Madly
2001;Rob Zombie;0;Never Gonna Stop (The Red, Red Kroovy);57;125.03;Rob Zombie - Never Gonna Stop (The Red, Red Kroovy)
2001;Rammstein;0;Feuer frei!;59;95.141;Rammstein - Feuer frei!
2001;TOOL;0;The Grudge;60;96.045;TOOL - The Grudge
2001;Pesado;0;Loco;66;136.119;Pesado - Loco
2001;Los Tigres Del Norte;0;La Camioneta Gris;61;109.957;Los Tigres Del Norte - La Camioneta Gris
2001;South Park Mexican;1;Stay on Your Grind - Screwed;54;8.214.200.000.000.000;South Park Mexican - Stay on Your Grind - Screwed
2001;George Strait;0;Run;55;75.59;George Strait - Run
2001;Los Originales De San Juan;0;La Raza Michoacana;57;114.495;Los Originales De San Juan - La Raza Michoacana
2001;JAY-Z;1;Izzo (H.O.V.A.);60;84.411;JAY-Z - Izzo (H.O.V.A.)
2001;Ludacris;1;Area Codes;61;100.934;Ludacris - Area Codes
2001;John Mayer;0;Neon;60;101.984;John Mayer - Neon
2001;JAY-Z;1;Heart Of The City (Ain't No Love);59;17.102.700.000.000.000;JAY-Z - Heart Of The City (Ain't No Love)
2001;Rammstein;0;Sonne;60;75.098;Rammstein - Sonne
2001;Billy Joel;0;It's Still Rock and Roll to Me;58;141.429;Billy Joel - It's Still Rock and Roll to Me
2001;Slipknot;1;The Heretic Anthem;61;100.827;Slipknot - The Heretic Anthem
2001;System Of A Down;0;Deer Dance;60;160.156;System Of A Down - Deer Dance
2002;Eminem;1;'Till I Collapse;84;171.447;Eminem - 'Till I Collapse
2002;Eminem;1;Without Me;83;112.238;Eminem - Without Me
2002;Coldplay;0;The Scientist;84;14.627.700.000.000.000;Coldplay - The Scientist
2002;Red Hot Chili Peppers;0;Can't Stop;80;91.455;Red Hot Chili Peppers - Can't Stop
2002;Stevie Wonder;0;Superstition - Single Version;77;100.499;Stevie Wonder - Superstition - Single Version
2002;Maroon 5;0;She Will Be Loved - Radio Mix;80;102.0;Maroon 5 - She Will Be Loved - Radio Mix
2002;Good Charlotte;0;The Anthem;74;17.775.099.999.999.900;Good Charlotte - The Anthem
2002;Nelly;1;Dilemma;78;16.818.900.000.000.000;Nelly - Dilemma
2002;Maroon 5;0;This Love;79;95.051;Maroon 5 - This Love
2002;Avril Lavigne;0;Complicated;78;77.987;Avril Lavigne - Complicated
2002;Avril Lavigne;0;Sk8er Boi;76;149.937;Avril Lavigne - Sk8er Boi
2002;Chevelle;0;The Red;69;140.055;Chevelle - The Red
2002;Toby Keith;0;Courtesy Of The Red, White And Blue (The Angry American);68;111.762;Toby Keith - Courtesy Of The Red, White And Blue (The Angry American)
